n_diag_sec,n_proc_sec,n_diag_total_input,n_proc_total_input,n_inputs_total,n_classes,params,epochs_run,best_val_accuracy,best_val_loss,test_loss,accuracy,f1_macro,f1_weighted,top3_accuracy,seconds
16,24,17,25,44,113,333406,12,0.838867723941803,0.6292291283607483,0.7007324695587158,0.8353658536585366,0.7673441881901959,0.8327073388066031,0.9459930062294006,13.67
28,2,29,3,34,113,298470,12,0.8405008316040039,0.6267234086990356,0.6398195028305054,0.8318815331010453,0.7650349450254902,0.8295232455036021,0.9516550302505493,11.42
12,20,13,21,36,113,304006,12,0.8301578760147095,0.6530815958976746,0.6780806183815002,0.828397212543554,0.7642869697025175,0.824725758786212,0.9616724848747253,14.9
20,4,21,5,28,113,283446,12,0.8312466144561768,0.6803617477416992,0.6550107002258301,0.8292682926829268,0.7639573444442949,0.8267016735931033,0.9542682766914368,9.88
24,0,25,1,28,113,276558,12,0.8258029222488403,0.7160050868988037,0.7404690384864807,0.8253484320557491,0.7612301704095287,0.822071974022522,0.9464285969734192,10.02
16,2,17,3,22,113,261238,12,0.8410452008247375,0.6676735281944275,0.6688963770866394,0.8301393728222997,0.760102765841105,0.8240129888251722,0.9507839679718018,8.69
34,2,35,3,40,113,312694,12,0.8312466144561768,0.6927462220191956,0.68796706199646,0.830574912891986,0.7596073990515085,0.8270967249320562,0.9494773745536804,13.02
16,29,17,30,49,113,347310,12,0.8399564623832703,0.6611434817314148,0.7252098321914673,0.8288327526132404,0.7575513724495727,0.8210673891517488,0.9520906209945679,15.05
12,10,13,11,26,113,272838,12,0.837234616279602,0.6499588489532471,0.7087944149971008,0.8297038327526133,0.7574552979777801,0.827710414681446,0.9486062526702881,16.19
12,6,13,7,22,113,258846,12,0.838867723941803,0.6645033359527588,0.6694653034210205,0.8292682926829268,0.7571008256659412,0.8245584724148627,0.9547038078308105,15.51
34,24,35,25,62,113,384862,12,0.8475775718688965,0.6672661900520325,0.6973097920417786,0.8279616724738676,0.7566828117713129,0.8243065921770945,0.957317054271698,20.72
24,16,25,17,44,113,336478,12,0.8361458778381348,0.634602963924408,0.7204417586326599,0.8297038327526133,0.7552483672192277,0.8260185601537288,0.950348436832428,13.99
24,12,25,13,40,113,323894,12,0.8410452008247375,0.6574636101722717,0.668968915939331,0.830574912891986,0.7549541082877853,0.8252124521261278,0.9512194991111755,12.88
24,10,25,11,38,113,317166,12,0.8426783084869385,0.6553963422775269,0.6787835359573364,0.8253484320557491,0.7547119686090383,0.8201646113715155,0.950348436832428,12.38
16,8,17,9,28,113,283798,12,0.8317909836769104,0.6783697605133057,0.6836044192314148,0.8218641114982579,0.7537805629710057,0.8170192038399753,0.9533972144126892,10.03
34,0,35,1,38,113,301494,12,0.8236255049705505,0.6946985721588135,0.7319137454032898,0.8201219512195121,0.7535742551497107,0.8173487027250476,0.9425086975097656,12.79
20,16,21,17,40,113,324270,12,0.8394120931625366,0.6342555284500122,0.7041619420051575,0.8227351916376306,0.7530392219237473,0.8194385151127083,0.9494773745536804,12.85
16,20,17,21,40,113,321814,12,0.8339684009552002,0.649899423122406,0.6841319799423218,0.8249128919860628,0.7527407264815512,0.8211089193204509,0.9542682766914368,12.76
20,2,21,3,26,113,275550,12,0.838867723941803,0.6642764210700989,0.6850676536560059,0.8301393728222997,0.7523552998733731,0.8271341545820922,0.9446864128112793,9.62
