,precision,recall,f1-score,support
014141,0.5882352941176471,0.7692307692307693,0.6666666666666666,13.0
014142,0.7857142857142857,0.6111111111111112,0.6875,18.0
014143,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
014221,1.0,1.0,1.0,9.0
014241,1.0,0.9166666666666666,0.9565217391304348,24.0
041013,0.8571428571428571,0.4,0.5454545454545454,15.0
041023,0.7959183673469388,0.7959183673469388,0.7959183673469388,49.0
041203,0.9130434782608695,0.8076923076923077,0.8571428571428571,26.0
044113,1.0,1.0,1.0,11.0
044123,1.0,1.0,1.0,10.0
044152,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
044153,0.9122807017543859,0.9122807017543859,0.9122807017543859,57.0
044161,0.6666666666666666,1.0,0.8,8.0
044162,0.8571428571428571,0.6,0.7058823529411765,10.0
044163,0.9772727272727273,0.9347826086956522,0.9555555555555556,46.0
044172,1.0,0.6666666666666666,0.8,6.0
044173,0.9047619047619048,1.0,0.95,19.0
044181,0.8,0.8888888888888888,0.8421052631578947,9.0
044183,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
044201,0.75,1.0,0.8571428571428571,6.0
044211,0.6,0.75,0.6666666666666666,12.0
044212,0.6,0.375,0.46153846153846156,8.0
044213,0.896551724137931,0.9629629629629629,0.9285714285714286,27.0
054101,0.8571428571428571,0.6666666666666666,0.75,9.0
054102,0.6,0.6,0.6,10.0
054103,0.6,0.6923076923076923,0.6428571428571429,13.0
054122,0.7222222222222222,0.9285714285714286,0.8125,14.0
054123,0.972972972972973,0.8780487804878049,0.9230769230769231,41.0
054151,0.7272727272727273,0.8888888888888888,0.8,9.0
054152,0.8,1.0,0.8888888888888888,8.0
054153,0.75,0.42857142857142855,0.5454545454545454,7.0
054192,0.8571428571428571,0.75,0.8,8.0
061121,1.0,0.8181818181818182,0.9,11.0
061122,0.7777777777777778,0.875,0.8235294117647058,8.0
061131,0.9423076923076923,0.98,0.9607843137254902,50.0
061132,0.7272727272727273,0.8,0.7619047619047619,10.0
061141,0.8888888888888888,1.0,0.9411764705882353,8.0
061201,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
061202,0.7391304347826086,0.85,0.7906976744186046,20.0
061203,0.42857142857142855,0.375,0.4,16.0
061501,1.0,0.7777777777777778,0.875,9.0
064131,0.9090909090909091,1.0,0.9523809523809523,10.0
064171,0.8666666666666667,0.8125,0.8387096774193549,16.0
064172,0.9375,0.8333333333333334,0.8823529411764706,18.0
064173,0.7777777777777778,1.0,0.875,7.0
064181,0.6666666666666666,0.8571428571428571,0.75,21.0
064182,0.42105263157894735,0.5333333333333333,0.47058823529411764,15.0
064183,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0
071141,0.9384615384615385,0.9682539682539683,0.953125,63.0
071142,1.0,0.8076923076923077,0.8936170212765957,26.0
071143,0.8888888888888888,0.7272727272727273,0.8,11.0
074103,1.0,1.0,1.0,13.0
074121,0.8888888888888888,1.0,0.9411764705882353,8.0
074131,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
074133,0.9166666666666666,0.8461538461538461,0.88,13.0
074141,0.7857142857142857,1.0,0.88,11.0
074142,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
074143,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
081022,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
081023,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
081301,0.9090909090909091,1.0,0.9523809523809523,10.0
081302,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
091401,0.9583333333333334,1.0,0.9787234042553191,23.0
091402,1.0,1.0,1.0,8.0
091501,1.0,1.0,1.0,14.0
094121,0.7,0.875,0.7777777777777778,8.0
094122,1.0,0.5,0.6666666666666666,6.0
094131,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0
104101,0.8,0.4,0.5333333333333333,10.0
104102,0.5555555555555556,0.625,0.5882352941176471,8.0
104103,0.75,0.6666666666666666,0.7058823529411765,9.0
111201,0.7692307692307693,0.8333333333333334,0.8,12.0
111202,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
114102,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
114103,0.75,0.375,0.5,8.0
114121,0.6486486486486487,0.8888888888888888,0.75,27.0
114122,0.7272727272727273,0.38095238095238093,0.5,21.0
114123,0.7407407407407407,0.8333333333333334,0.7843137254901961,24.0
114131,0.8888888888888888,0.8,0.8421052631578947,10.0
114132,0.7777777777777778,0.875,0.8235294117647058,8.0
121101,0.8571428571428571,1.0,0.9230769230769231,6.0
131111,0.8627450980392157,0.9777777777777777,0.9166666666666666,45.0
131112,1.0,0.4444444444444444,0.6153846153846154,9.0
131201,0.8113207547169812,0.9772727272727273,0.8865979381443299,44.0
131202,0.8888888888888888,0.6153846153846154,0.7272727272727273,13.0
131301,0.875,0.75,0.8076923076923077,28.0
131302,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
134121,0.8571428571428571,0.75,0.8,8.0
134131,1.0,0.8571428571428571,0.9230769230769231,7.0
134141,0.8888888888888888,1.0,0.9411764705882353,8.0
134161,0.84,0.9692307692307692,0.9,65.0
134162,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0
134163,0.875,0.7777777777777778,0.8235294117647058,9.0
146101,0.9195402298850575,0.9815950920245399,0.9495548961424333,163.0
146102,0.8444444444444444,0.7755102040816326,0.8085106382978723,49.0
146103,0.9583333333333334,0.71875,0.8214285714285714,32.0
146121,0.9621212121212122,0.9921875,0.9769230769230769,128.0
146122,0.9393939393939394,0.8378378378378378,0.8857142857142857,37.0
146123,0.95,0.95,0.95,20.0
146131,0.9380530973451328,0.9814814814814815,0.9592760180995475,108.0
146132,0.88,0.7857142857142857,0.8301886792452831,28.0
146133,1.0,0.8461538461538461,0.9166666666666666,13.0
158131,0.45454545454545453,0.4166666666666667,0.43478260869565216,12.0
158132,0.8571428571428571,0.6666666666666666,0.75,9.0
158171,0.7444444444444445,0.8589743589743589,0.7976190476190477,78.0
158172,0.5,0.42857142857142855,0.46153846153846156,7.0
184103,0.8181818181818182,0.9,0.8571428571428571,10.0
194101,1.0,0.8571428571428571,0.9230769230769231,14.0
194111,1.0,1.0,1.0,6.0
194131,0.9,1.0,0.9473684210526315,9.0
214121,0.7037037037037037,0.76,0.7307692307692307,25.0
214122,0.5,0.3076923076923077,0.38095238095238093,13.0
224121,1.0,0.45454545454545453,0.625,11.0
accuracy,0.8527874564459931,0.8527874564459931,0.8527874564459931,0.8527874564459931
macro avg,0.8220490105921687,0.7921265621616453,0.79638354003876,2296.0
weighted avg,0.8580249515841976,0.8527874564459931,0.8488141162348791,2296.0
