model,model_family,n_diag_sec,n_proc_sec,dense_layers,dropouts,emb_diag,emb_proc,loss,class_weight,l2,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,top3_accuracy,epochs_run,best_val_loss,seconds
NN_l2,Neural Network,16,10,"(256,)","(0.25,)",32,32,ce,None,0.0001,0.8527874564459931,0.79638354003876,0.8488141162348791,0.8220490105921687,0.7921265621616453,0.9616724848747253,40,0.5958285927772522,21.17
NN_512_cw_smooth,Neural Network,16,10,"(512,)","(0.35,)",24,20,ce,smooth,0.0,0.8388501742160279,0.7810053739255791,0.8361751398311641,0.7984036119446947,0.7820756859574768,0.9625435471534729,20,0.53260338306427,14.49
NN_focal,Neural Network,16,10,"(256,)","(0.3,)",24,20,focal,None,0.0,0.8414634146341463,0.7804188380868397,0.838635546074384,0.8033725632163172,0.7777225581154066,0.963850200176239,24,0.07908925414085388,15.06
NN_focal_embeddings,Neural Network,16,10,"(256,)","(0.3,)",32,32,focal,None,0.0,0.8414634146341463,0.7804188380868397,0.838635546074384,0.8033725632163172,0.7777225581154066,0.963850200176239,24,0.07908925414085388,15.15
NN_256,Neural Network,16,10,"(256,)","(0.3,)",24,20,ce,None,0.0,0.8414634146341463,0.7791131553173699,0.8369102008738323,0.8073484975443839,0.7746380690113283,0.9608014225959778,20,0.5389443039894104,12.9
NN_embeddings_32_32,Neural Network,16,10,"(256,)","(0.3,)",32,32,ce,None,0.0,0.8414634146341463,0.7791131553173699,0.8369102008738323,0.8073484975443839,0.7746380690113283,0.9608014225959778,20,0.5389443039894104,12.96
NN_512,Neural Network,16,10,"(512,)","(0.35,)",24,20,ce,None,0.0,0.837979094076655,0.7786129354791672,0.8347473698463627,0.8085156310834569,0.7737656201599808,0.9608014225959778,20,0.5435402393341064,14.5
NN_report_512_cw,Neural Network,16,10,"(512,)","(0.35,)",24,20,ce,balanced,0.0,0.8310104529616724,0.7782952977410654,0.8305637552948342,0.7918492263353676,0.784250339323547,0.963850200176239,23,0.5597003102302551,16.2
NN_256_cw_smooth,Neural Network,16,10,"(256,)","(0.3,)",24,20,ce,smooth,0.0,0.8331881533101045,0.7690236288168878,0.8304376992925042,0.7856878601842301,0.7713239848456337,0.9621080160140991,20,0.5450456142425537,13.57
NN_embeddings_32_32_cw,Neural Network,16,10,"(256,)","(0.3,)",32,32,ce,smooth,0.0,0.8331881533101045,0.7690236288168878,0.8304376992925042,0.7856878601842301,0.7713239848456337,0.9621080160140991,20,0.5450456142425537,12.93
NN_baseline_256_128,Neural Network,16,10,"(256, 128)","(0.35, 0.25)",24,20,ce,None,0.0,0.837979094076655,0.7663731461406301,0.8346925034719298,0.7922966025546587,0.7600962410768579,0.9490417838096619,17,0.6169179677963257,12.59
NN_256_128_focal,Neural Network,16,10,"(256, 128)","(0.3, 0.2)",32,32,focal,None,0.0,0.8214285714285714,0.7470081152539799,0.8181751414143154,0.7845864080301218,0.7388212388517664,0.9542682766914368,17,0.09096401929855347,12.79
