model_family,n_diag_sec,n_proc_sec,dense_layers,dropouts,accuracy,macro_f1,weighted_f1,top3_accuracy,epochs_run,best_val_loss,seconds
Neural Network,16,10,"[256, 128]","[0.35, 0.25]",0.837979094076655,0.7663731461406301,0.8346925034719298,0.9490417838096619,12,0.6169179677963257,10.54
Neural Network,16,20,"[256, 128]","[0.35, 0.25]",0.8336236933797909,0.7613955355519142,0.8282829337059451,0.9477351903915405,12,0.6096591949462891,12.99
Neural Network,24,2,"[256, 128]","[0.35, 0.25]",0.8288327526132404,0.7582721570576182,0.8239510686093681,0.9494773745536804,12,0.662763237953186,10.32
Neural Network,10,12,"[256, 128]","[0.35, 0.25]",0.8244773519163763,0.7582053060124294,0.8180412786916306,0.9494773745536804,12,0.6475784778594971,9.42
Neural Network,16,6,"[256, 128]","[0.35, 0.25]",0.828397212543554,0.7565915959190999,0.8223089029044672,0.9507839679718018,12,0.6529589891433716,9.5
Neural Network,34,12,"[256, 128]","[0.35, 0.25]",0.8253484320557491,0.7546633347091743,0.8215100492490232,0.9486062526702881,12,0.6611639857292175,15.41
Neural Network,28,16,"[256, 128]","[0.35, 0.25]",0.8214285714285714,0.7538529670191528,0.8177468272656768,0.9477351903915405,12,0.631936252117157,14.63
Neural Network,20,8,"[256, 128]","[0.35, 0.25]",0.8240418118466899,0.7537457604936022,0.8185280204054997,0.9560104608535767,12,0.6101241707801819,10.89
Neural Network,20,2,"[256, 128]","[0.35, 0.25]",0.8266550522648084,0.753682925207502,0.822131419044002,0.9446864128112793,12,0.6837090253829956,9.45
Neural Network,20,16,"[256, 128]","[0.35, 0.25]",0.8275261324041812,0.7525127700372766,0.8210459847767027,0.9442508816719055,12,0.6300933957099915,12.46
Neural Network,24,12,"[256, 128]","[0.35, 0.25]",0.8249128919860628,0.752355157936419,0.8194958805471534,0.9451219439506531,12,0.6318997740745544,12.62
Neural Network,34,16,"[256, 128]","[0.35, 0.25]",0.8275261324041812,0.7519770203339194,0.8222063363120998,0.950348436832428,12,0.6741716265678406,15.75
Neural Network,20,20,"[256, 128]","[0.35, 0.25]",0.8157665505226481,0.7515929551604936,0.8131485070408778,0.9377177953720093,12,0.6520751118659973,13.51
Neural Network,12,16,"[256, 128]","[0.35, 0.25]",0.8236062717770035,0.7514394080662709,0.8190771733131732,0.946864128112793,12,0.6401941180229187,11.2
Neural Network,12,24,"[256, 128]","[0.35, 0.25]",0.8270905923344948,0.7509473623252307,0.821414604333896,0.9481707215309143,12,0.6481723189353943,12.93
