Rank,Family,model,n_diag_sec,n_proc_sec,accuracy,macro_f1,weighted_f1,top3_accuracy
1,Neural Network,NN_l2,16,10,0.8527874564459931,0.79638354003876,0.8488141162348791,0.9616724848747252
2,Neural Network,NN_512_cw_smooth,16,10,0.8388501742160279,0.7810053739255791,0.8361751398311641,0.9625435471534728
3,Neural Network,NN_focal,16,10,0.8414634146341463,0.7804188380868397,0.838635546074384,0.963850200176239
4,Neural Network,NN_focal_embeddings,16,10,0.8414634146341463,0.7804188380868397,0.838635546074384,0.963850200176239
5,Neural Network,NN_256,16,10,0.8414634146341463,0.7791131553173699,0.8369102008738323,0.9608014225959778
6,Random Forest,RF_depth15_leaf1,6,0,0.710801393728223,0.6198828147164137,0.7019561958200974,0.9263937282229964
7,Random Forest,RF_log2,6,0,0.7042682926829268,0.6166840230148914,0.6974586150539069,0.923780487804878
8,Random Forest,RF_depth30,6,0,0.7038327526132404,0.6163221049656739,0.6970250249065558,0.923780487804878
9,Random Forest,RF_300_balanced,6,0,0.6994773519163763,0.613881836755385,0.6939573677776089,0.926829268292683
10,Random Forest,RF_500_balanced,6,0,0.6990418118466899,0.6112240948736473,0.6930220823876241,0.92595818815331
