n_diag_sec,n_proc_sec,n_diag_total_input,n_proc_total_input,n_inputs_total,n_classes,accuracy,f1_macro,f1_weighted,top3_accuracy,seconds
24,0,25,1,28,113,0.6912020905923345,0.5991622772984779,0.6862035234060737,0.9111498257839721,2.15
16,2,17,3,22,113,0.6833623693379791,0.5876880713051588,0.6760532824061432,0.919425087108014,2.25
20,4,21,5,28,113,0.6816202090592335,0.5842683028624128,0.6695680924403892,0.9202961672473867,2.31
34,2,35,3,40,113,0.6798780487804879,0.5838529756618602,0.6736413697775548,0.9089721254355401,2.13
12,6,13,7,22,113,0.6877177700348432,0.5813110436097291,0.6739314852498889,0.9250871080139372,2.16
28,2,29,3,34,113,0.6750871080139372,0.579105146867227,0.6683058862035198,0.9107142857142857,2.41
12,10,13,11,26,113,0.686411149825784,0.5782972696942471,0.6698973670919784,0.9255226480836237,2.74
12,20,13,21,36,113,0.6746515679442509,0.5562484829471817,0.6563782530029726,0.9102787456445993,2.62
16,29,17,30,49,113,0.6646341463414634,0.5455872887620936,0.6464539224067183,0.9020034843205574,2.52
16,24,17,25,44,113,0.6559233449477352,0.5274095788976957,0.6371534857763408,0.899390243902439,2.85
